DATE,VALUE
1993-01-01,56023.417
1994-01-01,56820.732
1995-01-01,57589.711
1996-01-01,58389.582
1997-01-01,59340.027
1998-01-01,60262.972
1999-01-01,61150.112
2000-01-01,63439.136
2001-01-01,64427.327
2002-01-01,65312.198
2003-01-01,66116.338
2004-01-01,66965.483
2005-01-01,67833.726
2006-01-01,68751.765
2007-01-01,69595.414
2008-01-01,70509.175
2009-01-01,71341.376
2010-01-01,72115.753
2011-01-01,72805.080
2012-01-01,73526.476
2013-01-01,74254.423
