DATE,VALUE
1993-01-01,89329.642
1994-01-01,90573.372
1995-01-01,91777.714
1996-01-01,92947.197
1997-01-01,94176.777
1998-01-01,95348.823
1999-01-01,96468.455
2000-01-01,100565.549
2001-01-01,101849.575
2002-01-01,103150.787
2003-01-01,104380.188
2004-01-01,105883.977
2005-01-01,107479.771
2006-01-01,109076.933
2007-01-01,110688.742
2008-01-01,112184.930
2009-01-01,113548.615
2010-01-01,114857.899
2011-01-01,116032.322
2012-01-01,117253.992
2013-01-01,118383.453
